date,Bảo tàng văn hóa Phật giáo,Chùa Linh Ứng Sơn Trà,Công viên Châu Á,Rau má,Đình làng Hải Châu
thg 1 2004,0.0,0.0,0.0,0.0,0.0
thg 1 2005,0.0,0.0,0.0,0.0,0.0
thg 1 2006,0.0,0.0,0.0,0.0,0.0
thg 1 2007,0.0,0.0,0.0,0.0,0.0
thg 1 2008,0.0,0.0,0.0,0.0,0.0
thg 1 2009,0.0,0.0,0.0,0.0,0.0
thg 1 2010,0.0,0.0,0.0,0.0,0.0
thg 1 2011,0.0,0.0,0.0,2.0,0.0
thg 1 2012,0.0,0.0,0.0,4.0,0.0
thg 1 2013,0.0,0.0,0.0,7.0,0.0
thg 1 2014,0.0,0.0,0.0,6.0,0.0
thg 1 2015,0.0,0.0,1.0,10.0,0.0
thg 1 2016,0.0,0.0,2.0,13.0,0.0
thg 1 2017,0.0,0.0,3.0,14.0,0.0
thg 1 2018,0.0,1.0,3.0,31.0,0.0
thg 1 2019,0.0,0.0,2.0,27.0,0.0
thg 1 2020,0.0,0.0,2.0,33.0,0.0
thg 1 2021,0.0,1.0,2.0,48.0,0.0
thg 1 2022,0.0,0.0,5.0,45.0,0.0
thg 1 2023,0.0,1.0,4.0,44.0,0.0
thg 1 2024,0.0,0.0,2.0,50.0,0.0
thg 1 2025,0.0,1.0,3.0,42.0,0.0
thg 10 2004,0.0,0.0,0.0,0.0,0.0
thg 10 2005,0.0,0.0,0.0,0.0,0.0
thg 10 2006,0.0,0.0,0.0,0.0,0.0
thg 10 2007,0.0,0.0,0.0,0.0,0.0
thg 10 2008,0.0,0.0,0.0,0.0,0.0
thg 10 2009,0.0,0.0,0.0,0.0,0.0
thg 10 2010,0.0,0.0,0.0,0.0,0.0
thg 10 2011,0.0,0.0,0.0,5.0,0.0
thg 10 2012,0.0,0.0,1.0,12.0,0.0
thg 10 2013,0.0,0.0,1.0,9.0,0.0
thg 10 2014,0.0,0.0,1.0,11.0,0.0
thg 10 2015,0.0,0.0,2.0,15.0,0.0
thg 10 2016,0.0,0.0,2.0,19.0,0.0
thg 10 2017,0.0,0.0,2.0,26.0,0.0
thg 10 2018,0.0,1.0,2.0,32.0,0.0
thg 10 2019,0.0,1.0,2.0,38.0,0.0
thg 10 2020,0.0,0.0,1.0,47.0,0.0
thg 10 2021,0.0,0.0,3.0,50.0,0.0
thg 10 2022,0.0,0.0,5.0,52.0,0.0
thg 10 2023,0.0,0.0,3.0,56.0,0.0
thg 10 2024,0.0,1.0,3.0,56.0,0.0
thg 10 2025,0.0,1.0,3.0,58.0,1.0
thg 11 2004,0.0,0.0,0.0,0.0,0.0
thg 11 2005,0.0,0.0,0.0,0.0,0.0
thg 11 2006,0.0,0.0,0.0,0.0,0.0
thg 11 2007,0.0,0.0,0.0,0.0,0.0
thg 11 2008,0.0,0.0,0.0,0.0,0.0
thg 11 2009,0.0,0.0,0.0,5.0,0.0
thg 11 2010,0.0,0.0,0.0,0.0,0.0
thg 11 2011,0.0,0.0,0.0,6.0,0.0
thg 11 2012,0.0,0.0,0.0,10.0,0.0
thg 11 2013,0.0,0.0,1.0,9.0,0.0
thg 11 2014,0.0,0.0,1.0,12.0,0.0
thg 11 2015,0.0,1.0,2.0,15.0,0.0
thg 11 2016,0.0,0.0,2.0,16.0,0.0
thg 11 2017,0.0,0.0,2.0,29.0,0.0
thg 11 2018,0.0,0.0,2.0,29.0,0.0
thg 11 2019,0.0,1.0,2.0,34.0,0.0
thg 11 2020,0.0,0.0,2.0,53.0,0.0
thg 11 2021,0.0,0.0,6.0,46.0,0.0
thg 11 2022,0.0,1.0,5.0,48.0,0.0
thg 11 2023,0.0,0.0,3.0,57.0,0.0
thg 11 2024,0.0,0.0,3.0,57.0,0.0
thg 11 2025,0.0,1.0,4.0,55.0,0.0
thg 12 2004,0.0,0.0,0.0,0.0,0.0
thg 12 2005,0.0,0.0,0.0,0.0,0.0
thg 12 2006,0.0,0.0,0.0,0.0,0.0
thg 12 2007,0.0,0.0,0.0,0.0,0.0
thg 12 2008,0.0,0.0,0.0,0.0,0.0
thg 12 2009,0.0,0.0,0.0,4.0,0.0
thg 12 2010,0.0,0.0,0.0,5.0,0.0
thg 12 2011,0.0,0.0,0.0,4.0,0.0
thg 12 2012,0.0,0.0,1.0,8.0,0.0
thg 12 2013,0.0,0.0,1.0,9.0,0.0
thg 12 2014,0.0,0.0,1.0,10.0,0.0
thg 12 2015,0.0,0.0,2.0,15.0,0.0
thg 12 2016,0.0,0.0,2.0,15.0,0.0
thg 12 2017,0.0,1.0,2.0,29.0,0.0
thg 12 2018,0.0,0.0,2.0,27.0,0.0
thg 12 2019,0.0,1.0,2.0,35.0,0.0
thg 12 2020,0.0,0.0,2.0,51.0,0.0
thg 12 2021,0.0,0.0,5.0,44.0,0.0
thg 12 2022,0.0,1.0,4.0,45.0,0.0
thg 12 2023,0.0,1.0,3.0,54.0,0.0
thg 12 2024,0.0,1.0,4.0,49.0,0.0
thg 12 2025,0.0,0.0,3.0,58.0,0.0
thg 2 2004,0.0,0.0,0.0,0.0,0.0
thg 2 2005,0.0,0.0,0.0,0.0,0.0
thg 2 2006,0.0,0.0,0.0,0.0,0.0
thg 2 2007,0.0,0.0,0.0,0.0,0.0
thg 2 2008,0.0,0.0,0.0,0.0,0.0
thg 2 2009,0.0,0.0,0.0,8.0,0.0
thg 2 2010,0.0,0.0,0.0,0.0,0.0
thg 2 2011,0.0,0.0,0.0,5.0,0.0
